,Timestamp,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What is your race?,What country do you work in?
0,1,0,4,1,1,0,1,0,2,2,1,2,1,0,1,1,1,6.0,0.0,1,0,0,2,2,1,3,1,3,0,1,0,0,3.0,3.0,3,3,1,0,4,4,0,5,1,0,0.0,10.0,2,2,1.0,27.0,0,50,3,52
1,1,0,4,1,1,1,1,0,0,2,1,2,2,0,1,1,1,7.0,2.0,1,1,2,0,1,0,0,1,1,0,0,1,0,5.0,2.0,3,3,0,0,1,4,0,4,1,0,0.0,6.0,3,0,2.0,31.0,3,50,3,52
2,1,0,2,1,1,2,0,2,0,1,0,2,1,1,2,1,0,0.0,1.0,1,1,2,2,1,0,0,1,1,0,0,1,0,8.0,0.0,1,1,1,1,4,4,1,5,2,0,1.0,5.0,2,2,1.0,36.0,3,51,3,53
3,1,0,4,1,0,1,0,0,2,1,4,1,2,0,2,0,0,9.0,5.0,1,1,1,0,1,1,3,1,2,0,0,0,0,7.0,3.0,0,0,0,1,3,1,2,5,2,0,0.0,4.0,3,3,2.0,30.0,3,51,3,53
4,1,0,2,1,1,1,1,0,0,1,5,2,1,0,0,1,1,10.0,10.0,1,1,2,0,1,0,3,2,2,1,0,1,1,10.0,10.0,1,0,1,1,3,2,0,8,0,0,1.0,5.0,1,3,2.0,36.0,0,51,2,53
5,1,0,3,1,1,1,0,0,0,2,4,1,1,0,2,0,1,10.0,8.0,1,1,2,0,1,0,0,1,2,0,0,0,1,5.0,5.0,0,0,1,1,1,1,0,3,0,0,0.0,7.0,1,3,2.0,38.0,0,51,3,53
8,1,0,4,1,1,2,0,0,2,2,0,1,2,0,0,0,0,5.0,3.0,1,1,2,0,2,1,2,1,1,0,1,0,0,5.0,5.0,1,1,0,1,4,2,1,10,0,0,0.0,0.0,2,1,1.0,35.0,3,51,3,53
9,1,0,6,1,1,2,0,0,2,2,2,1,2,0,2,0,0,3.0,2.0,1,0,0,2,1,0,0,1,1,0,1,0,0,7.0,5.0,1,2,1,2,4,2,2,3,2,0,0.0,5.0,0,0,3.0,22.0,0,51,3,53
10,1,0,3,1,0,2,0,2,2,1,5,2,2,1,1,1,1,5.0,5.0,1,0,2,0,1,1,3,2,2,0,0,0,0,5.0,5.0,1,1,1,1,4,4,2,8,1,0,0.0,5.0,1,1,3.0,34.0,0,51,0,53
13,1,0,2,1,1,2,0,0,0,2,4,1,2,0,2,1,0,4.0,3.0,1,0,0,0,2,0,3,1,2,1,0,1,1,7.0,5.0,3,3,0,0,3,4,0,8,1,2,0.0,6.0,1,0,3.0,21.0,3,16,3,15
14,1,0,2,1,1,0,0,0,0,2,2,1,0,0,0,0,1,2.0,2.0,1,1,1,2,1,0,0,1,2,0,0,0,0,1.0,1.0,3,3,0,1,4,4,3,3,0,0,0.0,5.0,1,1,2.0,22.0,3,50,3,52
15,1,0,4,1,1,0,0,1,0,2,1,1,0,0,2,0,0,10.0,5.0,1,1,1,1,1,0,0,1,1,0,0,1,0,2.0,0.0,2,2,1,2,1,1,1,5,1,1,0.0,5.0,1,1,3.0,40.0,3,6,3,7
16,1,0,2,1,1,0,0,0,0,1,5,2,1,0,2,0,0,7.0,0.0,1,0,1,1,1,0,0,2,2,0,0,0,0,5.0,0.0,2,2,0,1,1,1,0,5,1,1,0.0,5.0,1,3,2.0,33.0,3,24,3,23
